bowler,date,venue,bowling_team,rolling_avg_wickets,overs_bowled_last5,venue_wicket_rate,bowler_career_avg,next_match_wicket
SB Joshi,2008-04-18,M Chinnaswamy Stadium,Royal Challengers Bangalore,0.2,3.1333333333333337,0.0,0.8771929824561403,0.0
AB Agarkar,2008-04-18,M Chinnaswamy Stadium,Kolkata Knight Riders,1.0,4.166666666666667,1.3333333333333333,1.0,2.0
P Kumar,2008-04-18,M Chinnaswamy Stadium,Royal Challengers Bangalore,0.25,2.7916666666666665,1.5,0.25,1.0
I Sharma,2008-04-18,M Chinnaswamy Stadium,Kolkata Knight Riders,0.0,1.0,1.0,0.0,1.0
AB Dinda,2008-04-18,M Chinnaswamy Stadium,Kolkata Knight Riders,0.0,2.933333333333333,0.6666666666666666,0.7857142857142857,1.0
LR Shukla,2008-04-18,M Chinnaswamy Stadium,Kolkata Knight Riders,0.0,1.0,1.0,0.0,0.0
SC Ganguly,2008-04-18,M Chinnaswamy Stadium,Kolkata Knight Riders,0.2,2.3,1.0,0.625,0.0
Z Khan,2008-04-18,M Chinnaswamy Stadium,Royal Challengers Bangalore,0.4,1.0333333333333334,1.0,0.5342465753424658,4.0
CL White,2008-04-18,M Chinnaswamy Stadium,Royal Challengers Bangalore,1.6,3.7666666666666666,0.0,1.8571428571428572,0.0
JH Kallis,2008-04-18,M Chinnaswamy Stadium,Royal Challengers Bangalore,0.8,1.8,1.3333333333333333,0.6,0.0
MM Patel,2008-04-19,Feroz Shah Kotla,Rajasthan Royals,0.4,2.433333333333333,1.5,0.7692307692307693,2.0
P Amarnath,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,1.4,2.3333333333333335,1.3333333333333333,1.1666666666666667,1.0
JDP Oram,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,0.2,2.1333333333333337,2.0,1.0480769230769231,1.0
K Goel,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,0.4,2.5666666666666673,0.0,0.8666666666666667,0.0
WA Mota,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,0.0,1.75,1.0,0.0,0.0
S Sreesanth,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,1.2,2.3333333333333335,2.0,0.8,1.0
D Salunkhe,2008-04-19,Feroz Shah Kotla,Rajasthan Royals,0.6,3.7,0.0,1.0,1.0
M Muralitharan,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,0.6,3.3666666666666663,1.0,1.2571428571428571,2.0
Joginder Sharma,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,1.0,2.2333333333333334,1.0,0.8571428571428571,2.0
B Lee,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,1.4,3.6,3.0,1.1111111111111112,1.0
SK Warne,2008-04-19,Feroz Shah Kotla,Rajasthan Royals,0.6,3.233333333333333,0.3333333333333333,0.9733333333333334,3.0
DL Vettori,2008-04-19,Feroz Shah Kotla,Delhi Daredevils,0.4,2.3000000000000003,1.3333333333333333,0.9753086419753086,1.0
PP Chawla,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,0.5,2.583333333333333,2.0,0.5,0.0
JR Hopes,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,1.6,3.6,0.0,1.3333333333333333,1.0
SK Trivedi,2008-04-19,Feroz Shah Kotla,Rajasthan Royals,0.2,2.0,0.3333333333333333,0.43478260869565216,2.0
IK Pathan,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,1.0,4.333333333333333,0.0,1.0,1.0
GD McGrath,2008-04-19,Feroz Shah Kotla,Delhi Daredevils,1.4,4.0,0.0,1.3333333333333333,0.0
YK Pathan,2008-04-19,Feroz Shah Kotla,Rajasthan Royals,0.0,0.16666666666666666,0.6190476190476191,0.0,0.0
B Geeves,2008-04-19,Feroz Shah Kotla,Delhi Daredevils,0.0,1.0,0.0,0.0,1.0
SR Watson,2008-04-19,Feroz Shah Kotla,Rajasthan Royals,0.0,1.5416666666666667,0.42857142857142855,0.0,0.0
MS Gony,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,0.8,2.7333333333333334,2.0,1.088235294117647,1.0
R Bhatia,2008-04-19,Feroz Shah Kotla,Delhi Daredevils,1.4,4.1,1.15,0.9519230769230769,3.0
MF Maharoof,2008-04-19,Feroz Shah Kotla,Delhi Daredevils,0.8,2.033333333333333,1.0,0.7666666666666667,2.0
ST Jayasuriya,2008-04-20,Wankhede Stadium,Mumbai Indians,0.5,3.083333333333333,0.3333333333333333,0.5,0.0
R Vinay Kumar,2008-04-20,Wankhede Stadium,Royal Challengers Bangalore,0.2,1.0666666666666667,1.0,0.6923076923076923,0.0
P Kumar,2008-04-20,Wankhede Stadium,Royal Challengers Bangalore,0.0,4.166666666666667,0.5,0.0,1.0
DS Kulkarni,2008-04-20,Wankhede Stadium,Mumbai Indians,0.2,1.6666666666666665,1.0,0.5869565217391305,1.0
AB Agarkar,2008-04-20,Eden Gardens,Kolkata Knight Riders,3.0,4.666666666666667,1.0,3.0,1.0
SB Bangar,2008-04-20,Eden Gardens,Deccan Chargers,0.0,1.0,2.0,0.0,0.0
Harbhajan Singh,2008-04-20,Wankhede Stadium,Mumbai Indians,2.2,3.6666666666666665,1.6666666666666667,1.4660194174757282,0.0
AB Dinda,2008-04-20,Eden Gardens,Kolkata Knight Riders,2.0,3.3333333333333335,1.0,2.0,0.0
M Kartik,2008-04-20,Eden Gardens,Kolkata Knight Riders,0.8,4.1,0.75,1.0476190476190477,0.0
Mohammad Hafeez,2008-04-20,Eden Gardens,Kolkata Knight Riders,1.0,4.2,2.0,1.125,0.0
AM Nayar,2008-04-20,Wankhede Stadium,Mumbai Indians,0.2,1.2666666666666666,0.0,0.25,0.0
A Nehra,2008-04-20,Wankhede Stadium,Mumbai Indians,0.4,2.9333333333333336,1.6666666666666667,0.5,2.0
A Symonds,2008-04-20,Eden Gardens,Deccan Chargers,0.8,3.5666666666666673,0.2,1.3478260869565217,0.0
RP Singh,2008-04-20,Eden Gardens,Deccan Chargers,1.4,4.2,1.0,1.1666666666666667,1.0
JH Kallis,2008-04-20,Wankhede Stadium,Royal Challengers Bangalore,1.0,4.166666666666667,0.0,1.0,0.0
SB Styris,2008-04-20,Eden Gardens,Deccan Chargers,0.25,2.2916666666666665,0.0,0.25,2.0
WPUJC Vaas,2008-04-20,Eden Gardens,Deccan Chargers,0.4,1.8333333333333333,2.0,0.4,0.0
SB Joshi,2008-04-20,Wankhede Stadium,Royal Challengers Bangalore,0.0,3.0,0.5,0.0,1.0
SM Pollock,2008-04-20,Wankhede Stadium,Mumbai Indians,1.0,3.722222222222222,0.0,1.0,0.0
DJ Hussey,2008-04-20,Eden Gardens,Kolkata Knight Riders,0.2,1.6333333333333333,0.5,0.30303030303030304,0.0
PP Ojha,2008-04-20,Eden Gardens,Deccan Chargers,1.8,3.4666666666666672,0.3333333333333333,1.0523560209424083,0.0
I Sharma,2008-04-20,Eden Gardens,Kolkata Knight Riders,1.0,3.1666666666666665,1.0,1.0,0.0
B Akhil,2008-04-20,Wankhede Stadium,Royal Challengers Bangalore,0.4,3.066666666666667,1.5,0.5714285714285714,0.0
Z Khan,2008-04-20,Wankhede Stadium,Royal Challengers Bangalore,1.0,4.0,2.0,1.0,1.0
IK Pathan,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,2.0,4.0,2.0,2.0,2.0
YK Pathan,2008-04-21,Sawai Mansingh Stadium,Rajasthan Royals,0.0,2.3333333333333335,0.0,0.0,2.0
SK Trivedi,2008-04-21,Sawai Mansingh Stadium,Rajasthan Royals,0.0,3.5,0.6666666666666666,0.0,0.0
PP Chawla,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,0.0,1.0,1.0,0.0,2.0
JR Hopes,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,1.0,4.0,1.0,1.0,0.0
SK Warne,2008-04-21,Sawai Mansingh Stadium,Rajasthan Royals,0.0,2.0,1.0,0.0,2.0
B Lee,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,1.0,4.166666666666667,1.0,1.0,2.0
S Sreesanth,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,0.0,3.1666666666666665,1.0,0.0,2.0
Pankaj Singh,2008-04-21,Sawai Mansingh Stadium,Rajasthan Royals,1.0,4.033333333333333,0.0,1.3846153846153846,0.0
D Salunkhe,2008-04-21,Sawai Mansingh Stadium,Rajasthan Royals,0.0,1.1666666666666667,0.0,0.0,0.0
MM Patel,2008-04-21,Sawai Mansingh Stadium,Rajasthan Royals,0.0,3.0,1.5,0.0,0.0
WA Mota,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,1.0,2.3333333333333335,1.0,1.0,0.0
SR Watson,2008-04-21,Sawai Mansingh Stadium,Rajasthan Royals,1.0,4.166666666666667,0.5,1.0,1.0
