match_id,date,batsman,venue,batting_team,team1,team2,runs,balls,wickets,venue_avg_runs_x,opponent,avg_runs_vs_opponent_x,target_runs,target_wickets,career_runs_x,career_avg_runs_x,career_wickets_x,career_runs_y,career_avg_runs_y,career_wickets_y,career_runs,career_avg_runs,career_wickets,recent_runs_5,recent_wickets_5,venue_avg_runs_y,avg_runs_vs_opponent_y
388,2013-07-04,A Ashish Reddy,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,14,12,12,8.0,Royal Challengers Bangalore,16.333333333333332,3.0,4.0,62,7.75,53,62,7.75,53,62,7.75,53,7.4,6.8,8.0,8.5
432,2013-09-04,A Ashish Reddy,M Chinnaswamy Stadium,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,3,4,4,17.5,Royal Challengers Bangalore,16.333333333333332,16.0,9.0,62,7.75,53,62,7.75,53,62,7.75,53,7.4,7.0,3.0,8.5
394,2013-12-04,A Ashish Reddy,Feroz Shah Kotla,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,16,9,9,16.0,Delhi Daredevils,10.5,6.0,6.0,62,7.75,53,62,7.75,53,62,7.75,53,9.0,7.2,16.0,10.5
551,2015-02-05,A Ashish Reddy,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,6,6,6,8.0,Chennai Super Kings,4.5,32.0,18.0,62,7.75,53,62,7.75,53,62,7.75,53,9.2,7.0,8.0,4.5
209,2010-04-04,A Kumble,Feroz Shah Kotla,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,1,1,1,1.0,Delhi Daredevils,1.0,2.0,4.0,12,2.4,19,12,2.4,19,12,2.4,19,2.4,3.8,1.0,1.0
272,2011-01-05,A Mishra,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,Chennai Super Kings,Deccan Chargers,2,5,5,3.0,Chennai Super Kings,6.166666666666667,9.0,10.0,140,6.086956521739131,158,140,6.086956521739131,158,140,6.086956521739131,158,6.2,7.2,3.0,6.2
275,2011-03-05,A Mishra,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,9,10,10,5.0,Kolkata Knight Riders,7.0,2.0,2.0,140,6.086956521739131,158,140,6.086956521739131,158,140,6.086956521739131,158,7.2,8.2,5.0,7.0
236,2011-09-04,A Mishra,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Deccan Chargers,Rajasthan Royals,2,2,2,5.0,Rajasthan Royals,1.75,0.0,1.0,140,6.086956521739131,158,140,6.086956521739131,158,140,6.086956521739131,158,5.4,7.0,5.0,1.75
286,2011-10-05,A Mishra,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Deccan Chargers,Pune Warriors,0,1,1,5.0,Pune Warriors,0.0,12.0,6.0,140,6.086956521739131,158,140,6.086956521739131,158,140,6.086956521739131,158,4.6,6.0,5.0,0.0
240,2011-11-04,A Mishra,Eden Gardens,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,12,6,6,6.333333333333333,Kolkata Knight Riders,7.0,8.0,5.0,140,6.086956521739131,158,140,6.086956521739131,158,140,6.086956521739131,158,5.0,4.8,6.333333333333333,7.0
359,2012-08-05,A Mishra,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Kings XI Punjab,Deccan Chargers,8,5,5,5.0,Kings XI Punjab,9.0,0.0,2.0,140,6.086956521739131,158,140,6.086956521739131,158,140,6.086956521739131,158,6.2,4.8,5.0,9.0
316,2012-09-04,A Mishra,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Deccan Chargers,Deccan Chargers,Mumbai Indians,0,2,2,0.0,Mumbai Indians,4.5,6.0,8.0,140,6.086956521739131,158,140,6.086956521739131,158,140,6.086956521739131,158,4.4,3.2,0.0,4.5
435,2013-08-05,A Mishra,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,6,8,8,5.0,Chennai Super Kings,6.166666666666667,16.0,14.0,140,6.086956521739131,158,140,6.086956521739131,158,140,6.086956521739131,158,5.2,4.4,5.0,6.2
394,2013-12-04,A Mishra,Feroz Shah Kotla,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,16,14,14,12.0,Delhi Daredevils,16.0,0.0,2.0,140,6.086956521739131,158,140,6.086956521739131,158,140,6.086956521739131,158,8.4,7.0,12.0,16.0
487,2014-08-05,A Mishra,"Sardar Patel Stadium, Motera",Sunrisers Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,0,2,2,0.0,Rajasthan Royals,1.75,1.0,3.0,140,6.086956521739131,158,140,6.086956521739131,158,140,6.086956521739131,158,6.0,6.2,0.0,1.75
553,2015-03-05,A Mishra,Brabourne Stadium,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,1,3,3,1.0,Rajasthan Royals,1.75,4.0,5.0,140,6.086956521739131,158,140,6.086956521739131,158,140,6.086956521739131,158,4.6,5.8,1.0,1.75
519,2015-09-04,A Mishra,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,4,5,5,3.0,Chennai Super Kings,6.166666666666667,3.0,9.0,140,6.086956521739131,158,140,6.086956521739131,158,140,6.086956521739131,158,5.4,6.4,3.0,6.2
578,2016-10-04,A Mishra,Eden Gardens,Delhi Daredevils,Delhi Daredevils,Kolkata Knight Riders,3,9,9,6.333333333333333,Kolkata Knight Riders,7.0,9.0,15.0,140,6.086956521739131,158,140,6.086956521739131,158,140,6.086956521739131,158,4.8,6.6,6.333333333333333,7.0
44,2017-06-05,A Mishra,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,9,15,15,12.0,Mumbai Indians,4.5,8.0,14.0,140,6.086956521739131,158,140,6.086956521739131,158,140,6.086956521739131,158,3.4,6.8,12.0,4.5
5,2017-08-04,A Mishra,M Chinnaswamy Stadium,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,8,14,14,8.0,Royal Challengers Bangalore,8.0,8.0,2.0,140,6.086956521739131,158,140,6.086956521739131,158,140,6.086956521739131,158,5.0,9.2,8.0,8.0
49,2017-10-05,A Mishra,Green Park,Delhi Daredevils,Gujarat Lions,Delhi Daredevils,8,2,2,8.0,Gujarat Lions,8.0,13.0,10.0,140,6.086956521739131,158,140,6.086956521739131,158,140,6.086956521739131,158,6.4,9.0,8.0,8.0
51,2017-12-05,A Mishra,Feroz Shah Kotla,Delhi Daredevils,Delhi Daredevils,Rising Pune Supergiant,13,10,10,12.0,Rising Pune Supergiant,13.0,8.0,11.0,140,6.086956521739131,158,140,6.086956521739131,158,140,6.086956521739131,158,8.2,10.0,12.0,13.0
11341,2019-01-05,A Mishra,M. A. Chidambaram Stadium,Delhi Capitals,Chennai Super Kings,Delhi Capitals,8,11,11,8.0,Chennai Super Kings,6.166666666666667,2.0,3.0,140,6.086956521739131,158,140,6.086956521739131,158,140,6.086956521739131,158,9.2,10.4,8.0,6.2
11413,2019-08-05,A Mishra,ACA-VDCA Stadium,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,2,3,3,4.0,Sunrisers Hyderabad,2.0,6.0,3.0,140,6.086956521739131,158,140,6.086956521739131,158,140,6.086956521739131,158,7.8,8.0,2.0,2.0
390,2013-09-04,A Nehra,Wankhede Stadium,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,1,5,5,1.0,Mumbai Indians,1.0,0.0,1.0,4,0.6666666666666666,17,4,0.6666666666666666,17,4,0.6666666666666666,17,0.8,3.2,1.0,1.0
554,2015-04-05,A Nehra,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore,0,1,1,0.0,Royal Challengers Bangalore,0.0,1.0,1.0,4,0.6666666666666666,17,4,0.6666666666666666,17,4,0.6666666666666666,17,0.6,2.6,0.0,0.0
210,2010-05-04,A Symonds,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,Rajasthan Royals,Deccan Chargers,15,20,20,20.333333333333332,Rajasthan Royals,22.5,53.0,25.0,286,23.833333333333332,227,286,23.833333333333332,227,286,23.833333333333332,227,34.2,26.8,20.333333333333332,22.5
214,2010-08-04,A Symonds,M Chinnaswamy Stadium,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,53,25,25,53.0,Royal Challengers Bangalore,36.0,27.0,25.0,286,23.833333333333332,227,286,23.833333333333332,227,286,23.833333333333332,227,32.8,24.4,53.0,36.0
216,2010-10-04,A Symonds,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,Chennai Super Kings,Deccan Chargers,27,25,25,20.333333333333332,Chennai Super Kings,27.0,5.0,9.0,286,23.833333333333332,227,286,23.833333333333332,227,286,23.833333333333332,227,32.2,25.6,20.333333333333332,27.0
175,2010-12-03,A Symonds,Dr DY Patil Sports Academy,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,5,9,9,4.0,Kolkata Knight Riders,25.0,19.0,21.0,286,23.833333333333332,227,286,23.833333333333332,227,286,23.833333333333332,227,24.2,19.6,4.0,25.0
220,2010-12-04,A Symonds,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,Deccan Chargers,Royal Challengers Bangalore,19,21,21,20.333333333333332,Royal Challengers Bangalore,36.0,4.0,6.0,286,23.833333333333332,227,286,23.833333333333332,227,286,23.833333333333332,227,23.8,20.0,20.333333333333332,36.0
273,2011-02-05,A Symonds,Wankhede Stadium,Mumbai Indians,Mumbai Indians,Kings XI Punjab,4,6,6,4.0,Kings XI Punjab,24.0,3.0,3.0,286,23.833333333333332,227,286,23.833333333333332,227,286,23.833333333333332,227,21.6,17.2,4.0,32.0
277,2011-04-05,A Symonds,Dr DY Patil Sports Academy,Mumbai Indians,Mumbai Indians,Pune Warriors,3,3,3,4.0,Pune Warriors,3.0,4.0,4.0,286,23.833333333333332,227,286,23.833333333333332,227,286,23.833333333333332,227,11.6,12.8,4.0,3.0
282,2011-07-05,A Symonds,Wankhede Stadium,Mumbai Indians,Mumbai Indians,Delhi Daredevils,4,4,4,4.0,Delhi Daredevils,4.0,8.0,7.0,286,23.833333333333332,227,286,23.833333333333332,227,286,23.833333333333332,227,7.0,8.6,4.0,4.0
284,2011-08-05,AA Jhunjhunwala,"Punjab Cricket Association Stadium, Mohali",Pune Warriors,Kings XI Punjab,Pune Warriors,0,3,3,0.0,Kings XI Punjab,9.5,1.0,1.0,51,8.5,55,51,8.5,55,51,8.5,55,10.0,10.8,0.0,0.0
352,2012-04-05,AA Jhunjhunwala,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,Chennai Super Kings,Deccan Chargers,1,1,1,4.0,Chennai Super Kings,4.0,19.0,20.0,51,8.5,55,51,8.5,55,51,8.5,55,8.8,10.2,4.0,4.0
217,2010-10-04,AB Agarkar,M Chinnaswamy Stadium,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore,6,7,7,6.0,Royal Challengers Bangalore,6.0,7.0,7.0,74,14.8,58,74,14.8,58,74,14.8,58,14.8,11.6,6.0,6.0
426,2013-02-05,AB Dinda,Subrata Roy Sahara Stadium,Pune Warriors,Royal Challengers Bangalore,Pune Warriors,6,5,5,6.0,Royal Challengers Bangalore,3.0,0.0,2.0,11,1.5714285714285714,26,11,1.5714285714285714,26,11,1.5714285714285714,26,1.8,3.8,6.0,3.0
384,2013-05-04,AB Dinda,"Rajiv Gandhi International Stadium, Uppal",Pune Warriors,Sunrisers Hyderabad,Pune Warriors,0,2,2,0.0,Sunrisers Hyderabad,0.0,2.0,5.0,11,1.5714285714285714,26,11,1.5714285714285714,26,11,1.5714285714285714,26,1.6,3.6,0.0,0.0
484,2014-06-05,AB Dinda,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,2,5,5,2.0,Mumbai Indians,1.0,7.0,8.0,11,1.5714285714285714,26,11,1.5714285714285714,26,11,1.5714285714285714,26,2.0,4.4,2.0,1.0
141,2009-02-05,AB de Villiers,New Wanderers Stadium,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,0,1,1,20.0,Chennai Super Kings,8.666666666666666,50.0,38.0,1581,33.638297872340424,985,1581,33.638297872340424,985,1581,33.638297872340424,985,13.4,12.8,20.0,8.666666666666666
150,2009-08-05,AB de Villiers,Buffalo Park,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,50,38,38,50.0,Mumbai Indians,45.42857142857143,40.0,33.0,1581,33.638297872340424,985,1581,33.638297872340424,985,1581,33.638297872340424,985,18.2,16.0,50.0,45.42857142857143
154,2009-10-05,AB de Villiers,New Wanderers Stadium,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,40,33,33,20.0,Kolkata Knight Riders,25.3,27.0,14.0,1581,33.638297872340424,985,1581,33.638297872340424,985,1581,33.638297872340424,985,22.0,19.2,20.0,25.3
280,2011-06-05,AB de Villiers,M Chinnaswamy Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Kings XI Punjab,27,14,14,32.63157894736842,Kings XI Punjab,43.125,54.0,41.0,1581,33.638297872340424,985,1581,33.638297872340424,985,1581,33.638297872340424,985,27.4,21.8,32.63157894736842,43.125
237,2011-09-04,AB de Villiers,Nehru Stadium,Royal Challengers Bangalore,Kochi Tuskers Kerala,Royal Challengers Bangalore,54,41,41,54.0,Kochi Tuskers Kerala,54.0,38.0,37.0,1581,33.638297872340424,985,1581,33.638297872340424,985,1581,33.638297872340424,985,34.2,25.4,54.0,54.0
