match_id,date,batsman,venue,batting_team,team1,team2,runs,balls,wickets,opponent,runs_last_5,runs_last_10,runs_last_5_std,runs_diff_last_match,matches_played,target_runs,strike_rate,sr_last_5,venue_avg_runs,opp_avg_runs
522,2015-11-04,AB de Villiers,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,28,13,13,Kolkata Knight Riders,52.2,46.2,50.2065732748213,86.0,20,4.0,2.1538461538461537,1.5902322404371585,36.0,25.375
606,2016-02-05,AB de Villiers,M Chinnaswamy Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,4,6,6,Kolkata Knight Riders,46.2,46.8,51.124358186680446,-105.0,21,1.0,0.6666666666666666,1.6585014712063892,33.5,25.375
611,2016-07-05,AB de Villiers,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rising Pune Supergiants,Royal Challengers Bangalore,1,3,3,Rising Pune Supergiants,46.6,44.4,50.698126198115055,-24.0,22,64.0,0.3333333333333333,1.6918348045397225,33.5,1.0
615,2016-09-05,AB de Villiers,"Punjab Cricket Association IS Bindra Stadium, Mohali",Royal Challengers Bangalore,Royal Challengers Bangalore,Kings XI Punjab,64,35,35,Kings XI Punjab,42.6,35.6,53.91011036902077,-3.0,23,24.0,1.8285714285714283,1.458501471206389,64.0,52.6
617,2016-11-05,AB de Villiers,M Chinnaswamy Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Mumbai Indians,24,27,27,Mumbai Indians,46.0,41.1,54.78594710324902,63.0,24,82.0,0.8888888888888888,1.432549090254008,33.5,52.25
580,2016-12-04,AB de Villiers,M Chinnaswamy Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,82,44,44,Sunrisers Hyderabad,24.2,38.2,25.223005372080465,-40.0,25,43.0,1.8636363636363635,1.1742612942612944,33.5,44.5
37,2017-01-05,AB de Villiers,Wankhede Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Mumbai Indians,43,28,28,Mumbai Indians,35.0,40.6,36.359317925395686,58.0,26,10.0,1.5357142857142858,1.1162193362193362,61.66666666666666,52.25
42,2017-05-05,AB de Villiers,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,10,6,6,Kings XI Punjab,42.8,44.7,31.9640422975568,-39.0,27,10.0,1.6666666666666667,1.29002886002886,33.5,52.6
45,2017-07-05,AB de Villiers,M Chinnaswamy Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,10,8,8,Kolkata Knight Riders,44.6,43.6,29.151329300736872,-33.0,28,89.0,1.25,1.556695526695527,33.5,25.375
8,2017-10-04,AB de Villiers,Holkar Cricket Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Kings XI Punjab,89,49,49,Kings XI Punjab,33.8,39.9,30.15294347157505,0.0,29,1.0,1.816326530612245,1.440981240981241,89.0,52.6
