match_id,bowler,date,venue,wickets,balls,runs_conceded,economy,wickets_next_match
1,A Choudhary,2017-05-04,"Rajiv Gandhi International Stadium, Uppal",1,28,51,10.928571428571427,1.0
1,A Nehra,2017-05-04,"Rajiv Gandhi International Stadium, Uppal",2,25,41,9.84,2.0
1,B Kumar,2017-05-04,"Rajiv Gandhi International Stadium, Uppal",2,25,26,6.239999999999999,2.0
1,BCJ Cutting,2017-05-04,"Rajiv Gandhi International Stadium, Uppal",1,24,33,8.25,0.0
1,Bipul Sharma,2017-05-04,"Rajiv Gandhi International Stadium, Uppal",1,6,4,4.0,0.0
1,DJ Hooda,2017-05-04,"Rajiv Gandhi International Stadium, Uppal",1,6,7,7.0,1.0
1,MC Henriques,2017-05-04,"Rajiv Gandhi International Stadium, Uppal",1,13,19,8.76923076923077,0.0
1,Rashid Khan,2017-05-04,"Rajiv Gandhi International Stadium, Uppal",2,24,36,9.0,3.0
1,S Aravind,2017-05-04,"Rajiv Gandhi International Stadium, Uppal",0,18,36,12.0,0.0
1,SR Watson,2017-05-04,"Rajiv Gandhi International Stadium, Uppal",0,18,41,13.666666666666666,1.0
1,STR Binny,2017-05-04,"Rajiv Gandhi International Stadium, Uppal",1,6,10,10.0,0.0
1,TM Head,2017-05-04,"Rajiv Gandhi International Stadium, Uppal",0,6,11,11.0,0.0
1,TS Mills,2017-05-04,"Rajiv Gandhi International Stadium, Uppal",1,25,29,6.959999999999999,1.0
1,YS Chahal,2017-05-04,"Rajiv Gandhi International Stadium, Uppal",1,24,22,5.5,1.0
2,A Zampa,2017-06-04,Maharashtra Cricket Association Stadium,1,19,25,7.894736842105264,1.0
2,AB Dinda,2017-06-04,Maharashtra Cricket Association Stadium,1,27,54,12.0,1.0
2,BA Stokes,2017-06-04,Maharashtra Cricket Association Stadium,1,25,34,8.16,0.0
2,DL Chahar,2017-06-04,Maharashtra Cricket Association Stadium,0,12,21,10.5,1.0
2,HH Pandya,2017-06-04,Maharashtra Cricket Association Stadium,1,24,36,9.0,1.0
2,Imran Tahir,2017-06-04,Maharashtra Cricket Association Stadium,3,24,28,7.0,2.0
2,JJ Bumrah,2017-06-04,Maharashtra Cricket Association Stadium,0,24,29,7.25,1.0
2,KA Pollard,2017-06-04,Maharashtra Cricket Association Stadium,0,12,29,14.5,2.0
2,KH Pandya,2017-06-04,Maharashtra Cricket Association Stadium,0,12,21,10.5,3.0
2,MJ McClenaghan,2017-06-04,Maharashtra Cricket Association Stadium,1,24,36,9.0,1.0
2,R Bhatia,2017-06-04,Maharashtra Cricket Association Stadium,2,18,14,4.666666666666667,0.0
2,TG Southee,2017-06-04,Maharashtra Cricket Association Stadium,1,26,32,7.384615384615385,1.0
3,CR Woakes,2017-07-04,Saurashtra Cricket Association Stadium,0,18,35,11.666666666666666,1.0
3,DR Smith,2017-07-04,Saurashtra Cricket Association Stadium,0,6,23,23.0,0.0
3,DS Kulkarni,2017-07-04,Saurashtra Cricket Association Stadium,0,19,40,12.631578947368421,0.0
3,Kuldeep Yadav,2017-07-04,Saurashtra Cricket Association Stadium,2,24,25,6.25,1.0
3,MS Gony,2017-07-04,Saurashtra Cricket Association Stadium,0,15,29,11.6,1.0
3,P Kumar,2017-07-04,Saurashtra Cricket Association Stadium,0,12,13,6.5,1.0
