batter,date,venue,bowling_team,recent_form,venue_performance,opponent_performance,overall_average,future_runs
Mohammad Hafeez,2008-04-18,M Chinnaswamy Stadium,Royal Challengers Bangalore,8.0,5.0,5.0,8.0,13.0
Z Khan,2008-04-18,M Chinnaswamy Stadium,Kolkata Knight Riders,4.333333333333333,5.5,5.0,4.333333333333333,17.0
SC Ganguly,2008-04-18,M Chinnaswamy Stadium,Royal Challengers Bangalore,24.089285714285715,16.333333333333332,13.857142857142858,24.089285714285715,14.0
P Kumar,2008-04-18,M Chinnaswamy Stadium,Kolkata Knight Riders,5.964912280701754,8.454545454545455,5.714285714285714,5.964912280701754,34.0
V Kohli,2008-04-18,M Chinnaswamy Stadium,Kolkata Knight Riders,32.84426229508197,32.310344827586206,31.032258064516128,32.84426229508197,23.0
W Jaffer,2008-04-18,M Chinnaswamy Stadium,Kolkata Knight Riders,16.25,25.0,6.0,16.25,50.0
B Akhil,2008-04-18,M Chinnaswamy Stadium,Kolkata Knight Riders,6.909090909090909,2.5,0.0,6.909090909090909,3.0
CL White,2008-04-18,M Chinnaswamy Stadium,Kolkata Knight Riders,21.57777777777778,20.428571428571427,15.833333333333334,21.57777777777778,0.0
RT Ponting,2008-04-18,M Chinnaswamy Stadium,Royal Challengers Bangalore,10.11111111111111,24.0,24.0,10.11111111111111,0.0
SB Joshi,2008-04-18,M Chinnaswamy Stadium,Kolkata Knight Riders,3.0,3.0,3.0,3.0,3.0
BB McCullum,2008-04-18,M Chinnaswamy Stadium,Royal Challengers Bangalore,26.440366972477065,34.857142857142854,37.93333333333333,26.440366972477065,5.0
MV Boucher,2008-04-18,M Chinnaswamy Stadium,Kolkata Knight Riders,17.130434782608695,7.875,23.75,17.130434782608695,39.0
JH Kallis,2008-04-18,M Chinnaswamy Stadium,Kolkata Knight Riders,25.54736842105263,24.25,27.2,25.54736842105263,25.0
DJ Hussey,2008-04-18,M Chinnaswamy Stadium,Royal Challengers Bangalore,21.672131147540984,28.5,25.625,21.672131147540984,38.0
R Dravid,2008-04-18,M Chinnaswamy Stadium,Kolkata Knight Riders,26.51219512195122,20.214285714285715,20.4,26.51219512195122,32.0
MEK Hussey,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,34.08620689655172,52.25,41.833333333333336,34.08620689655172,5.0
PA Patel,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,20.941176470588236,38.25,34.294117647058826,20.941176470588236,14.0
M Rawat,2008-04-19,Feroz Shah Kotla,Delhi Daredevils,5.0,2.0,3.0,5.0,0.0
YK Pathan,2008-04-19,Feroz Shah Kotla,Delhi Daredevils,21.058823529411764,19.625,22.57894736842105,21.058823529411764,7.0
D Salunkhe,2008-04-19,Feroz Shah Kotla,Delhi Daredevils,11.0,26.0,26.0,11.0,1.0
S Badrinath,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,22.16923076923077,48.5,30.625,22.16923076923077,2.0
MS Dhoni,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,22.99561403508772,23.333333333333332,28.333333333333332,22.99561403508772,30.0
DS Lehmann,2008-04-19,Feroz Shah Kotla,Delhi Daredevils,9.0,1.0,1.0,9.0,17.0
KC Sangakkara,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,24.808823529411764,37.09090909090909,16.375,24.808823529411764,20.0
T Kohli,2008-04-19,Feroz Shah Kotla,Delhi Daredevils,3.6666666666666665,7.0,7.0,3.6666666666666665,3.0
K Goel,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,13.625,13.2,13.0,13.625,26.0
ML Hayden,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,34.59375,25.0,38.0,34.59375,81.0
JDP Oram,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,9.636363636363637,13.0,15.0,9.636363636363637,5.0
JR Hopes,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,21.94736842105263,41.75,23.75,21.94736842105263,16.0
V Sehwag,2008-04-19,Feroz Shah Kotla,Rajasthan Royals,26.23076923076923,28.272727272727273,21.066666666666666,26.23076923076923,94.0
SK Raina,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,27.68,24.333333333333332,35.73913043478261,27.68,53.0
G Gambhir,2008-04-19,Feroz Shah Kotla,Rajasthan Royals,27.927152317880793,37.111111111111114,26.4375,27.927152317880793,12.0
IK Pathan,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,14.024390243902438,13.11111111111111,20.6,14.024390243902438,12.0
RA Jadeja,2008-04-19,Feroz Shah Kotla,Delhi Daredevils,16.43888888888889,16.6,17.1875,16.43888888888889,36.0
SK Trivedi,2008-04-19,Feroz Shah Kotla,Delhi Daredevils,3.0,5.0,4.25,3.0,1.0
SK Warne,2008-04-19,Feroz Shah Kotla,Delhi Daredevils,7.333333333333333,7.0,5.166666666666667,7.333333333333333,22.0
SR Watson,2008-04-19,Feroz Shah Kotla,Delhi Daredevils,27.5177304964539,16.25,29.76923076923077,27.5177304964539,76.0
SM Katich,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,21.90909090909091,48.0,26.333333333333332,21.90909090909091,75.0
M Kaif,2008-04-19,Feroz Shah Kotla,Delhi Daredevils,11.772727272727273,9.0,7.0,11.772727272727273,5.0
S Dhawan,2008-04-19,Feroz Shah Kotla,Rajasthan Royals,30.6289592760181,30.076923076923077,28.291666666666668,30.6289592760181,25.0
Yuvraj Singh,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,21.857142857142858,25.153846153846153,21.5625,21.857142857142858,57.0
SM Pollock,2008-04-20,Wankhede Stadium,Royal Challengers Bangalore,18.375,14.0,28.0,18.375,17.0
PR Shah,2008-04-20,Wankhede Stadium,Royal Challengers Bangalore,10.222222222222221,12.0,19.0,10.222222222222221,10.0
SC Ganguly,2008-04-20,Eden Gardens,Deccan Chargers,24.089285714285715,35.46666666666667,32.7,24.089285714285715,12.0
JH Kallis,2008-04-20,Wankhede Stadium,Mumbai Indians,25.54736842105263,14.0,36.53846153846154,25.54736842105263,11.0
BB McCullum,2008-04-20,Eden Gardens,Deccan Chargers,26.440366972477065,26.266666666666666,7.2,26.440366972477065,24.0
AS Yadav,2008-04-20,Eden Gardens,Kolkata Knight Riders,8.166666666666666,10.0,10.0,8.166666666666666,12.0
RG Sharma,2008-04-20,Eden Gardens,Kolkata Knight Riders,26.41434262948207,35.84615384615385,32.42424242424242,26.41434262948207,66.0
ST Jayasuriya,2008-04-20,Wankhede Stadium,Royal Challengers Bangalore,25.6,52.75,33.2,25.6,20.0
AM Nayar,2008-04-20,Wankhede Stadium,Royal Challengers Bangalore,13.44,16.75,11.875,13.44,45.0
RP Singh,2008-04-20,Eden Gardens,Kolkata Knight Riders,1.8571428571428572,1.0,3.3333333333333335,1.8571428571428572,1.0
RT Ponting,2008-04-20,Eden Gardens,Deccan Chargers,10.11111111111111,9.5,0.0,10.11111111111111,0.0
R Dravid,2008-04-20,Wankhede Stadium,Mumbai Indians,26.51219512195122,20.5,17.727272727272727,26.51219512195122,0.0
RV Uthappa,2008-04-20,Wankhede Stadium,Royal Challengers Bangalore,25.14720812182741,27.416666666666668,31.227272727272727,25.14720812182741,43.0
A Symonds,2008-04-20,Eden Gardens,Kolkata Knight Riders,27.055555555555557,38.5,25.0,27.055555555555557,12.0
B Akhil,2008-04-20,Wankhede Stadium,Mumbai Indians,6.909090909090909,3.0,4.0,6.909090909090909,2.0
Mohammad Hafeez,2008-04-20,Eden Gardens,Deccan Chargers,8.0,6.25,13.0,8.0,16.0
