batter,date,venue,bowling_team,recent_wicket_rate,venue_wicket_rate,opponent_wicket_rate,career_wicket_rate,strike_rate,future_wicket
MV Boucher,2008-05-03,M Chinnaswamy Stadium,Deccan Chargers,0.6666666666666666,0.8571428571428571,1.0,0.6818181818181818,17.863636363636363,1
AC Gilchrist,2008-05-03,M Chinnaswamy Stadium,Royal Challengers Bangalore,0.8333333333333334,0.75,0.9090909090909091,0.9493670886075949,26.126582278481013,1
DJ Hussey,2008-05-03,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,0.8333333333333334,0.7692307692307693,0.75,0.8,22.016666666666666,1
KC Sangakkara,2008-05-03,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,1.1666666666666667,1.0909090909090908,1.0,1.0149253731343284,25.134328358208954,1
V Kohli,2008-05-03,M Chinnaswamy Stadium,Deccan Chargers,0.8333333333333334,0.9137931034482759,0.9,0.8930041152263375,32.84362139917695,2
R Dravid,2008-05-03,M Chinnaswamy Stadium,Deccan Chargers,1.0,1.0714285714285714,0.9090909090909091,0.9382716049382716,26.308641975308642,2
SC Ganguly,2008-05-03,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,1.1666666666666667,1.0,0.8571428571428571,0.9636363636363636,24.436363636363637,1
JH Kallis,2008-05-03,M Chinnaswamy Stadium,Deccan Chargers,1.0,0.8125,1.0909090909090908,0.9468085106382979,25.71276595744681,0
VVS Laxman,2008-05-03,M Chinnaswamy Stadium,Royal Challengers Bangalore,0.8333333333333334,1.0,1.0,0.8421052631578947,14.421052631578947,1
Yuvraj Singh,2008-05-03,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,0.8333333333333334,0.9230769230769231,0.9444444444444444,0.864,22.0,1
V Sehwag,2008-05-04,Dr DY Patil Sports Academy,Mumbai Indians,0.8333333333333334,1.5,0.9230769230769231,0.941747572815534,26.466019417475728,1
S Dhawan,2008-05-04,Dr DY Patil Sports Academy,Mumbai Indians,0.5,1.0,0.8571428571428571,0.8772727272727273,30.704545454545453,1
YK Pathan,2008-05-04,Sawai Mansingh Stadium,Chennai Super Kings,1.0,0.8333333333333334,0.7894736842105263,0.7236842105263158,21.17763157894737,1
RV Uthappa,2008-05-04,Dr DY Patil Sports Academy,Delhi Daredevils,1.0,0.7272727272727273,0.9047619047619048,0.9336734693877551,25.270408163265305,0
ST Jayasuriya,2008-05-04,Dr DY Patil Sports Academy,Delhi Daredevils,1.1666666666666667,1.0,1.0,0.9655172413793104,26.448275862068964,1
SR Watson,2008-05-04,Sawai Mansingh Stadium,Chennai Super Kings,0.5,0.7931034482758621,0.9166666666666666,0.8928571428571429,27.614285714285714,1
MS Dhoni,2008-05-04,Sawai Mansingh Stadium,Rajasthan Royals,1.0,0.6666666666666666,0.625,0.6519823788546255,22.986784140969164,1
PA Patel,2008-05-04,Sawai Mansingh Stadium,Rajasthan Royals,1.0,1.0,0.75,0.9333333333333333,21.096296296296295,1
G Gambhir,2008-05-04,Dr DY Patil Sports Academy,Mumbai Indians,1.0,0.5,1.0476190476190477,0.8933333333333333,28.086666666666666,1
IK Pathan,2008-05-05,M Chinnaswamy Stadium,Royal Challengers Bangalore,0.5,0.2,0.4,0.6419753086419753,14.17283950617284,1
Yuvraj Singh,2008-05-05,M Chinnaswamy Stadium,Royal Challengers Bangalore,0.8333333333333334,0.9166666666666666,0.9285714285714286,0.864,22.0,1
V Kohli,2008-05-05,M Chinnaswamy Stadium,Kings XI Punjab,1.0,0.9137931034482759,0.96,0.8930041152263375,32.84362139917695,1
DPMD Jayawardene,2008-05-05,M Chinnaswamy Stadium,Royal Challengers Bangalore,0.6666666666666666,0.25,0.5555555555555556,0.8181818181818182,23.2987012987013,1
R Dravid,2008-05-05,M Chinnaswamy Stadium,Kings XI Punjab,1.1666666666666667,1.0714285714285714,1.125,0.9382716049382716,26.308641975308642,1
P Kumar,2008-05-05,M Chinnaswamy Stadium,Kings XI Punjab,0.6666666666666666,0.7272727272727273,0.8,0.5892857142857143,6.053571428571429,0
