runs_scored,balls_faced,fours,sixes,team,opponent,venue,season,strike_rate,runs_last_5,sr_last_5,venue_avg_runs,pvt_avg_runs,pvt_matches,avg_pvp_sr,career_matches,career_avg_runs,career_avg_sr,label
0,2,0,0,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2007,0.0,0.0,0.0,2.5,0.0,1,0.0,1,0.0,0.0,3
158,77,10,13,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,2007,205.19480519480518,158.0,205.19480519480518,34.857142857142854,37.93333333333333,15,162.51244852467056,1,158.0,205.19480519480518,5
6,10,0,0,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2007,60.0,6.0,60.0,20.428571428571427,15.833333333333334,6,99.32773109243696,1,6.0,60.0,31
12,12,1,0,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,2007,100.0,12.0,100.0,28.5,25.625,8,89.58333333333333,1,12.0,100.0,38
8,7,0,1,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2007,114.28571428571428,8.0,114.28571428571428,24.25,27.2,5,118.12675070028011,1,8.0,114.28571428571428,25
7,11,1,0,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2007,63.63636363636363,7.0,63.63636363636363,7.875,23.75,4,84.41558441558442,1,7.0,63.63636363636363,39
5,3,1,0,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,2007,166.66666666666669,5.0,166.66666666666669,5.0,5.0,1,166.66666666666666,1,5.0,166.66666666666669,13
18,17,1,2,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2007,105.88235294117648,18.0,105.88235294117648,8.454545454545455,5.714285714285714,7,115.29411764705883,1,18.0,105.88235294117648,34
2,3,0,0,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2007,66.66666666666666,2.0,66.66666666666666,20.214285714285715,20.4,10,121.36507936507935,1,2.0,66.66666666666666,32
20,20,1,1,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,2007,100.0,20.0,100.0,24.0,24.0,2,100.0,1,20.0,100.0,0
3,8,0,0,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2007,37.5,3.0,37.5,3.0,3.0,1,37.5,1,3.0,37.5,3
10,12,2,0,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,2007,83.33333333333334,10.0,83.33333333333334,16.333333333333332,13.857142857142858,7,114.8809523809524,1,10.0,83.33333333333334,14
1,5,0,0,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2007,20.0,1.0,20.0,32.310344827586206,31.032258064516128,31,133.0632911392405,1,1.0,20.0,23
6,18,0,0,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2007,33.33333333333333,6.0,33.33333333333333,25.0,6.0,1,33.333333333333336,1,6.0,33.33333333333333,50
3,8,0,0,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2007,37.5,3.0,37.5,5.5,5.0,4,37.5,1,3.0,37.5,17
3,5,0,0,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2007,60.0,3.0,60.0,13.11111111111111,20.6,10,86.66666666666666,1,3.0,60.0,12
13,11,0,1,Chennai Super Kings,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",2007,118.18181818181819,13.0,118.18181818181819,13.0,15.0,2,99.0909090909091,1,13.0,118.18181818181819,5
